the_geom,weeds_number_of_samples,sampling_city,street_address,type,area_of_roof_sqft_,surrounding_landscape_types,landscaping_species,lawn_samples,lawn_species,site_name,weeds_species,park_number_of_samples,park_species,forest_number_of_samples,forest_species,cartodb_id,__geocoding_meta_relevance,__geocoding_meta_precision,__geocoding_meta_match_types
0101000020E6100000992A1895D46B54C060B01BB62DB24440,4,Cleveland,"2277 W Ridgewood Dr, Parma, OH 44134",Extensive,2600,"Weeds, forest, Landscaping","Yarrow, thistle, yarrow , summersweet (Clethra alnifolium)",,,Watershed Stewardship Center,"thistle, grass, clover, dandelion",0,,4,"Red maple, red maple, white oak, cherry tree",1,0.97,precise,{street}
0101000020E6100000EC2FBB270F6554C09F8EC70C54BE4440,0,Cleveland,"2600 S Park Blvd, Cleveland, OH 44120",Semi-intensive,180,"Landscaping, forest","Five leaf, razor leaf, serrated leaf, fern, monarda like",,,Shaker Nature Center,,0,,4,"Ornamental cherry (prunella sp.), sugar maple, ash, oak",2,0.98,precise,{street_number}
0101000020E6100000F7E461A1D66654C0C078060DFDBF4440,0,Cleveland,"11301 Cedar Ave Cleveland, OH 44106",Extensive,1500,"Lawn, Park, Landscaping","grass, mystery shrub for other three",4.0,"grass for three, thistle near last one",RTA University Cedar,,4,"grass, pine shrub, pine tree, cinquapin oak",0,,3,0.97,precise,{street}
0101000020E6100000EC51B81E856754C06AD95A5F24C04440,0,Cleveland,"10498 Carnegie Ave, Cleveland, OH 44106",Extensive,9200,"lawn, park",,4.0,Grass,Cleveland Clinic Foundation LL Building,,4,ornamental pear trees,0,,4,0.95,precise,{street}
0101000020E6100000931804560E6B54C0E38DCC237FC04440,4,Cleveland,"2400 Chester Ave Cleveland, OH 44114",Extensive,3000,"Weeds, lawn, landscaping","Ivy, ivy, english ivy, ivy",4.0,Grass,Cleveland State University Rec Center,"ground cover thing (see photo), dandelion, monarda like leaf, ground cover thing",0,,0,,5,0.97,precise,{street}
0101000020E61000005FB532E1974E57C02BA4FCA4DA6F4640,0,Minneapolis,"7150 Humphrey Drive Minneapolis, MN 55450",Extensive,8000,None sampled,,,,Minneapolis St. Paul Airport,,0,,0,,29,0.97,precise,{street_number}
0101000020E6100000EE3D5C72DC6B54C0787AA52C43C04440,0,Cleveland,"2486 Chester Ave, Cleveland, OH 44115",Intensive,12300,"Lawn, Park, Landscaping","Gold shrub( same as wsc), three leaved shrub, russian sage, dogwood",4.0,Grass,Cleveland State University Phys Ed Building,,4,"ornamental dogwood, birch, birch and birch",0,,6,0.95,precise,{street}
0101000020E610000073637AC2126B54C0D9EBDD1FEFC14440,0,Cleveland,"100 Lakeside Ave E, Cleveland, OH 44114",Extensive,9000,"lawn, landscaping","Cat mint, birch, black locust, shrub with white berries",4.0,Grass,Hilton Convention Center,,0,,0,,7,0.97,precise,{street}
0101000020E6100000F819170E846C54C07F6ABC7493C04440,0,Cleveland,"300 Lakeside Ave E, Cleveland, OH 44113",Intensive,544500,"lawn, landscaping","shrub, sycamore, shrub, pink flower shrub",4.0,Grass,Huntington Convention Center,,0,,0,,8,0.97,precise,{street_number}
0101000020E61000009352D0ED256754C0F05014E813C14440,0,Cleveland,"11030 East Blvd, Cleveland, OH 44106",Extensive,1400,"lawn, landscaping","Snow bush (breynia nivosa), japanese hydrangea, wisteria, wisteria",4.0,Grass,Cleveland Botanical Garden,,0,,0,,9,0.97,precise,{street_number}
0101000020E61000000CE544BB0A6754C09B559FABADC04440,0,Cleveland,"10524 Euclid Ave, Cleveland, OH 44195",Intensive,30000,"lawn, park",,4.0,Grass,Cleveland Clinic Foundation WO Walker Building,,4,"spiny tree, 2 maples?, spiny tree",0,,10,0.95,precise,{street}
0101000020E61000001E6D1CB1166F54C07D5C1B2AC6BD4440,4,Cleveland,"5801 Detroit Rd, Cleveland, OH 44102",Semi-intensive,150,"Weeds, lawn, landscaping","dandelions, sugar maple, dogwood, red maple (all near pine trees)",4.0,"grass, dandelion, clover",Happy Dog Bike Box,"dandelion, clover, white flower, yellow flower (groundsel?)",0,,0,,11,0.94,precise,{street}
0101000020E61000005FD218ADA36C54C0EBFF1CE6CBB34440,0,Cleveland,"2121 Snow Rd, Parma, OH 44134",Intensive,2000,"Lawn, Park, Landscaping","leafy shrub, ground cover, siny rosette ground cover, leafy shrub",4.0,Grass,Parma Snow Library,,4,"flowering dogwood, 3 silver mapls",0,,12,0.97,precise,{street_number}
