ID,Lon,Lat,sampling_city,type,area_of_roof_sqft_,surrounding_landscape_types,landscaping_species,lawn_samples,lawn_species,site_name,weeds_species,park_number_of_samples,park_species,forest_number_of_samples,forest_species
1,-81.68485,41.39202,Cleveland,Extensive,2600,"Weeds, forest, Landscaping","Yarrow, thistle, yarrow , summersweet (Clethra alnifolium)",,,Watershed Stewardship Center,"thistle, grass, clover, dandelion",0,,4,"Red maple, red maple, white oak, cherry tree"
2,-81.57905,41.48694,Cleveland,Semi-intensive,180,"Landscaping, forest","Five leaf, razor leaf, serrated leaf, fern, monarda like",,,Shaker Nature Center,,0,,4,"Ornamental cherry (prunella sp.), sugar maple, ash, oak"
3,-81.60685,41.49991,Cleveland,Extensive,1500,"Lawn, Park, Landscaping","grass, mystery shrub for other three",4,"grass for three, thistle near last one",RTA University Cedar,,4,"grass, pine shrub, pine tree, cinquapin oak",0,
4,-81.6175,41.50111,Cleveland,Extensive,9200,"lawn, park",,4,Grass,Cleveland Clinic Foundation LL Building,,4,ornamental pear trees,0,
5,-81.67275,41.50388,Cleveland,Extensive,3000,"Weeds, lawn, landscaping","Ivy, ivy, english ivy, ivy",4,Grass,Cleveland State University Rec Center,"ground cover thing (see photo), dandelion, monarda like leaf, ground cover thing",0,,0,
6,-93.22802,44.87386,Minneapolis,Extensive,8000,None sampled,,,,Minneapolis St. Paul Airport,,0,,0,
7,-81.68533,41.50205,Cleveland,Intensive,12300,"Lawn, Park, Landscaping","Gold shrub( same as wsc), three leaved shrub, russian sage, dogwood",4,Grass,Cleveland State University Phys Ed Building,,4,"ornamental dogwood, birch, birch and birch",0,
8,-81.67302,41.51511,Cleveland,Extensive,9000,"lawn, landscaping","Cat mint, birch, black locust, shrub with white berries",4,Grass,Hilton Convention Center,,0,,0,
9,-81.69556,41.5045,Cleveland,Intensive,544500,"lawn, landscaping","shrub, sycamore, shrub, pink flower shrub",4,Grass,Huntington Convention Center,,0,,0,
10,-81.61169,41.50842,Cleveland,Extensive,1400,"lawn, landscaping","Snow bush (breynia nivosa), japanese hydrangea, wisteria, wisteria",4,Grass,Cleveland Botanical Garden,,0,,0,
11,-81.61003,41.5053,Cleveland,Intensive,30000,"lawn, park",,4,Grass,Cleveland Clinic Foundation WO Walker Building,,4,"spiny tree, 2 maples?, spiny tree",0,
12,-81.73576,41.48261,Cleveland,Semi-intensive,150,"Weeds, lawn, landscaping","dandelions, sugar maple, dogwood, red maple (all near pine trees)",4,"grass, dandelion, clover",Happy Dog Bike Box,"dandelion, clover, white flower, yellow flower (groundsel?)",0,,0,
13,-81.69749,41.40466,Cleveland,Intensive,2000,"Lawn, Park, Landscaping","leafy shrub, ground cover, siny rosette ground cover, leafy shrub",4,Grass,Parma Snow Library,,4,"flowering dogwood, 3 silver mapls",0,
14,-81.61029,41.50846,Cleveland,Extensive,30000,"Lawn, Park, Landscaping","spiky sedum, leady sedum, spiky, spiky",5,Grass,Tinkham Veale Center,,4,"3 pear trees, 1 silver maple",0,
15,-81.68554,41.49937,Cleveland,Extensive,3000,"lawn, park",,5,Grass,Cuyahoga County Administrative Headquarters,,4,"3 honey locust, stinky pear tree",0,
16,-93.26558,44.9552,Minneapolis,Extensive,4200,"lawn, landscaping","2 Red barberry, yellow woodsorrel, geranium",4,Grass,American Swedish Institute Roof,,0,,0,
17,-93.26558,44.9552,Minneapolis,Extensive,8532,"lawn, landscaping","2 Red barberry, yellow woodsorrel, geranium",4,Grass,American Swedish Institute Terrace Garden,,0,,0,
18,-93.22168,44.97798,Minneapolis,Extensive,22000,"lawn, landscaping","2 Northern bush honeysuckle, ornamental grass, hosta",4,Grass,University of Minnesota Cancer Center Research Building,,0,,0,
